datetime,Weather Station;wind_speed;Avg (m/s),Weather Station;wind_speed;Max (m/s),Weather Station;wind_speed;Min (m/s),Weather Station;wind_speed;StdDev (m/s),Weather Station;wind_speed;Count (),Weather Station;wind_direction;Avg (°),Weather Station;wind_direction;StdDev (°),Weather Station;wind_direction;Count (),Weather Station;humidity;Avg (%),Weather Station;humidity;Max (%),Weather Station;humidity;Min (%),Weather Station;humidity;StdDev (%),Weather Station;humidity;Count (),Weather Station;temperature;Avg (°C),Weather Station;temperature;Max (°C),Weather Station;temperature;Min (°C),Weather Station;temperature;StdDev (°C),Weather Station;temperature;Count (),Weather Station;air_pressure;Avg (hPa),Weather Station;air_pressure;Max (hPa),Weather Station;air_pressure;Min (hPa),Weather Station;air_pressure;StdDev (hPa),Weather Station;air_pressure;Count (),Solar Sensor;solar_irradiance;Avg (W/m²),Solar Sensor;solar_irradiance;Max (W/m²),Solar Sensor;solar_irradiance;Min (W/m²),Solar Sensor;solar_irradiance;StdDev (W/m²),Solar Sensor;solar_irradiance;Count (),Monitoring Current Clima US TFB;voltage;Avg (A),Monitoring Current Clima US TFB;voltage;Max (A),Monitoring Current Clima US TFB;voltage;Min (A),Monitoring Current Clima US TFB;voltage;StdDev (A),Monitoring Current Clima US TFB;voltage;Count (),Monitoring Current Modem;voltage;Avg (A),Monitoring Current Modem;voltage;Max (A),Monitoring Current Modem;voltage;Min (A),Monitoring Current Modem;voltage;StdDev (A),Monitoring Current Modem;voltage;Count (),Monitoring Voltage Solarmodule;voltage;Avg (V),Monitoring Voltage Solarmodule;voltage;Max (V),Monitoring Voltage Solarmodule;voltage;Min (V),Monitoring Voltage Solarmodule;voltage;StdDev (V),Monitoring Voltage Solarmodule;voltage;Count (),Door switch;status;Count (),Door switch;status;Sum (),Weather Station;brightness_direction;Avg (°),Weather Station;brightness_direction;Max (°),Weather Station;brightness_direction;Min (°),Weather Station;brightness_direction;StdDev (°),Weather Station;brightness_direction;Count (),Weather Station;brightness_max;Avg (lux),Weather Station;brightness_max;Max (lux),Weather Station;brightness_max;Min (lux),Weather Station;brightness_max;StdDev (lux),Weather Station;brightness_max;Count (),Weather Station;precipitation_intensity;Avg (mm/h),Weather Station;precipitation_intensity;Max (mm/h),Weather Station;precipitation_intensity;Min (mm/h),Weather Station;precipitation_intensity;StdDev (mm/h),Weather Station;precipitation_intensity;Count (),Weather Station;precipitation_intensity;Sum (mm/h),Weather Station;precipitation_status;Avg (),Weather Station;precipitation_status;Max (),Weather Station;precipitation_status;Min (),Weather Station;precipitation_status;StdDev (),Weather Station;precipitation_status;Count (),Weather Station;precipitation_sum;Avg (mm/d),Weather Station;precipitation_sum;Max (mm/d),Weather Station;precipitation_sum;Min (mm/d),Weather Station;precipitation_sum;StdDev (mm/d),Weather Station;precipitation_sum;Count (),Weather Station;synop;Max (),A1;channel;Avg (V),A1;channel;Max (V),A1;channel;Min (V),A1;channel;StdDev (V),A1;channel;Count (),A2;channel;Avg (V),A2;channel;Max (V),A2;channel;Min (V),A2;channel;StdDev (V),A2;channel;Count (),A3;channel;Avg (V),A3;channel;Max (V),A3;channel;Min (V),A3;channel;StdDev (V),A3;channel;Count (),A4;channel;Avg (V),A4;channel;Max (V),A4;channel;Min (V),A4;channel;StdDev (V),A4;channel;Count (),D1;channel;Avg (),D1;channel;Max (),D1;channel;Min (),D1;channel;StdDev (),D1;channel;Count (),T;channel;Avg (°C),I;channel;Avg (mA),I;channel;Max (mA),I;channel;Min (mA),V;channel;Avg (V),V;channel;Max (V),V;channel;Min (V)
2022-08-01 00:00:00,1.6052,3.3,0.6,0.4516,600,27.7325,16.1098,600,61.9917,62,61,0.091,600,20.1237,20.2,20,0.0484,600,994.3813,994.5,994.3,0.0398,600,0,0,0,0,600,0.026,0.0294,0.0234,0.0012,600,0.0026,0.0493,0.0001,0.0037,600,26.3043,26.3427,26.2636,0.0307,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0.0013,0.0247,0,0.0018,600,0.013,0.0147,0.0117,0.0006,600,3.7578,3.7632,3.7519,0.0044,600,0,0,0,0,600,1,1,1,0,600,22.9,25.385,70,5,25.92,26.07,25.87
2022-08-01 00:10:00,1.5335,2.6,0.3,0.436,600,29.3315,15.3547,600,62,62,62,0,600,20.1473,20.2,20.1,0.05,600,994.3025,994.4,994.2,0.0505,600,0,0,0,0,600,0.0275,0.0302,0.0239,0.001,600,0.0007,0.0111,0.0001,0.002,600,26.2957,26.3149,26.2529,0.0186,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0.0004,0.0055,0,0.001,600,0.0137,0.0151,0.0119,0.0005,600,3.7565,3.7593,3.7504,0.0027,600,0,0,0,0,600,1,1,1,0,600,24.1,11.61,33,5,25.93,26.02,25.87
2022-08-01 00:20:00,1.5055,2.9,0.5,0.3538,600,27.9923,14.7772,600,62,62,62,0,600,20.2097,20.3,20.1,0.038,600,994.197,994.3,994.1,0.0275,600,0,0,0,0,600,0.0258,0.03,0.0236,0.0017,600,0.0001,0.0001,0.0001,0,600,26.3141,26.317,26.3106,0.0011,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0,0,0,600,0.0129,0.015,0.0118,0.0008,600,3.7592,3.7596,3.7587,0.0002,600,0,0,0,0,600,1,1,1,0,600,23,8.6967,13,5,25.96,26.02,25.92
2022-08-01 00:30:00,1.5297,2.7,0.3,0.4163,600,30.5457,14.6118,600,62,62,62,0,600,20.1568,20.3,20,0.0531,600,994.1815,994.2,994.1,0.0389,600,0,0,0,0,600,0.0258,0.0295,0.0237,0.0015,600,0.0001,0.0001,0.0001,0,600,26.308,26.3128,26.3021,0.0028,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0.0001,0,0,600,0.0129,0.0148,0.0118,0.0008,600,3.7583,3.759,3.7574,0.0004,600,0,0,0,0,600,1,1,1,0,600,23,8.7467,13,5,25.94,26.02,25.92
2022-08-01 00:40:00,1.5815,2.5,0.7,0.3058,600,32.3217,12.7056,600,62.3217,63,62,0.4675,600,20.0427,20.1,20,0.0495,600,994.1923,994.2,994.1,0.0266,600,0,0,0,0,600,0.027,0.0296,0.0244,0.0009,600,0.0001,0.0001,0.0001,0,600,26.2977,26.3042,26.2914,0.0037,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0,0,0,600,0.0135,0.0148,0.0122,0.0005,600,3.7568,3.7577,3.7559,0.0005,600,0,0,0,0,600,1,1,1,0,600,22.1,8.7,13,5,25.93,26.02,25.92
2022-08-01 00:50:00,1.566,2.7,0.8,0.3459,600,25.9966,13.9153,600,63,63,63,0,600,19.958,20.1,19.9,0.0497,600,994.2137,994.3,994.1,0.0353,600,0,0,0,0,600,0.0263,0.0301,0.0242,0.0015,600,0.0001,0.0001,0.0001,0,600,26.2864,26.2935,26.2786,0.0035,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0,0,0,600,0.0132,0.015,0.0121,0.0008,600,3.7552,3.7562,3.7541,0.0005,600,0,0,0,0,600,1,1,1,0,600,22,8.7167,13,5,25.92,26.02,25.87
2022-08-01 01:00:00,1.4992,2.3,0.6,0.3025,600,26.664,12.2238,600,63,63,63,0,600,19.926,20,19.9,0.0439,600,994.2133,994.3,994.2,0.034,600,0,0,0,0,600,0.026,0.0299,0.0236,0.0017,600,0.0027,0.0503,0.0001,0.0033,600,26.2414,26.2807,26.1995,0.0311,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0.0013,0.0251,0,0.0016,600,0.013,0.0149,0.0118,0.0008,600,3.7488,3.7544,3.7428,0.0044,600,0,0,0,0,600,1,1,1,0,600,22.9,25.3117,70,5,25.86,25.97,25.77
2022-08-01 01:10:00,1.6923,2.8,0.3,0.3819,600,38.8058,15.1933,600,63.6233,64,63,0.485,600,19.8715,20,19.7,0.0733,600,994.2033,994.3,994.1,0.0229,600,0,0,0,0,600,0.0269,0.0292,0.0244,0.001,600,0.0008,0.0104,0.0001,0.002,600,26.2245,26.2423,26.1867,0.0177,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0.0004,0.0052,0,0.001,600,0.0134,0.0146,0.0122,0.0005,600,3.7464,3.7489,3.741,0.0025,600,0,0,0,0,600,1,1,1,0,600,23.8,12.3933,33,5,25.86,25.92,25.77
2022-08-01 01:20:00,1.9837,3.4,0.5,0.5969,600,41.0269,11.9561,600,64.6067,65,64,0.4889,600,19.8025,19.9,19.7,0.0353,600,994.2258,994.3,994.2,0.0438,600,0,0,0,0,600,0.0263,0.0299,0.0242,0.0014,600,0.0001,0.0001,0.0001,0,600,26.2413,26.2444,26.238,0.0018,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0,0,0,600,0.0131,0.0149,0.0121,0.0007,600,3.7488,3.7492,3.7483,0.0003,600,0,0,0,0,600,1,1,1,0,600,22.8,8.7067,13,5,25.87,25.92,25.82
2022-08-01 01:30:00,2.1137,3.9,0.8,0.5254,600,45.4975,13.9803,600,65,65,65,0,600,19.826,19.9,19.7,0.0482,600,994.2167,994.3,994.2,0.0373,600,0,0,0,0,600,0.026,0.0297,0.0237,0.0016,600,0.0001,0.0001,0.0001,0,600,26.2319,26.238,26.223,0.0038,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0,0,0,600,0.013,0.0148,0.0119,0.0008,600,3.7474,3.7483,3.7461,0.0005,600,0,0,0,0,600,1,1,1,0,600,22,8.7233,13,5,25.87,25.92,25.82
