datetime,Weather Station;wind_speed;Avg (m/s),Weather Station;wind_speed;Max (m/s),Weather Station;wind_speed;Min (m/s),Weather Station;wind_speed;StdDev (m/s),Weather Station;wind_speed;Count (),Weather Station;wind_direction;Avg (°),Weather Station;wind_direction;StdDev (°),Weather Station;wind_direction;Count (),Weather Station;humidity;Avg (%),Weather Station;humidity;Max (%),Weather Station;humidity;Min (%),Weather Station;humidity;StdDev (%),Weather Station;humidity;Count (),Weather Station;temperature;Avg (°C),Weather Station;temperature;Max (°C),Weather Station;temperature;Min (°C),Weather Station;temperature;StdDev (°C),Weather Station;temperature;Count (),Weather Station;air_pressure;Avg (hPa),Weather Station;air_pressure;Max (hPa),Weather Station;air_pressure;Min (hPa),Weather Station;air_pressure;StdDev (hPa),Weather Station;air_pressure;Count (),Solar Sensor;solar_irradiance;Avg (W/m²),Solar Sensor;solar_irradiance;Max (W/m²),Solar Sensor;solar_irradiance;Min (W/m²),Solar Sensor;solar_irradiance;StdDev (W/m²),Solar Sensor;solar_irradiance;Count (),Monitoring Current Clima US TFB;voltage;Avg (A),Monitoring Current Clima US TFB;voltage;Max (A),Monitoring Current Clima US TFB;voltage;Min (A),Monitoring Current Clima US TFB;voltage;StdDev (A),Monitoring Current Clima US TFB;voltage;Count (),Monitoring Current Modem;voltage;Avg (A),Monitoring Current Modem;voltage;Max (A),Monitoring Current Modem;voltage;Min (A),Monitoring Current Modem;voltage;StdDev (A),Monitoring Current Modem;voltage;Count (),Monitoring Voltage Solarmodule;voltage;Avg (V),Monitoring Voltage Solarmodule;voltage;Max (V),Monitoring Voltage Solarmodule;voltage;Min (V),Monitoring Voltage Solarmodule;voltage;StdDev (V),Monitoring Voltage Solarmodule;voltage;Count (),Door switch;status;Count (),Door switch;status;Sum (),Weather Station;brightness_direction;Avg (°),Weather Station;brightness_direction;Max (°),Weather Station;brightness_direction;Min (°),Weather Station;brightness_direction;StdDev (°),Weather Station;brightness_direction;Count (),Weather Station;brightness_max;Avg (lux),Weather Station;brightness_max;Max (lux),Weather Station;brightness_max;Min (lux),Weather Station;brightness_max;StdDev (lux),Weather Station;brightness_max;Count (),Weather Station;precipitation_intensity;Avg (mm/h),Weather Station;precipitation_intensity;Max (mm/h),Weather Station;precipitation_intensity;Min (mm/h),Weather Station;precipitation_intensity;StdDev (mm/h),Weather Station;precipitation_intensity;Count (),Weather Station;precipitation_intensity;Sum (mm/h),Weather Station;precipitation_status;Avg (),Weather Station;precipitation_status;Max (),Weather Station;precipitation_status;Min (),Weather Station;precipitation_status;StdDev (),Weather Station;precipitation_status;Count (),Weather Station;precipitation_sum;Avg (mm/d),Weather Station;precipitation_sum;Max (mm/d),Weather Station;precipitation_sum;Min (mm/d),Weather Station;precipitation_sum;StdDev (mm/d),Weather Station;precipitation_sum;Count (),Weather Station;synop;Max (),A1;channel;Avg (V),A1;channel;Max (V),A1;channel;Min (V),A1;channel;StdDev (V),A1;channel;Count (),A2;channel;Avg (V),A2;channel;Max (V),A2;channel;Min (V),A2;channel;StdDev (V),A2;channel;Count (),A3;channel;Avg (V),A3;channel;Max (V),A3;channel;Min (V),A3;channel;StdDev (V),A3;channel;Count (),A4;channel;Avg (V),A4;channel;Max (V),A4;channel;Min (V),A4;channel;StdDev (V),A4;channel;Count (),D1;channel;Avg (),D1;channel;Max (),D1;channel;Min (),D1;channel;StdDev (),D1;channel;Count (),R1C1_1;channel;Count (),R1C1_2;channel;Count (),R1C1_3;channel;Count (),R1C1_4;channel;Count (),R1C1_5;channel;Count (),R1C1_6;channel;Count (),R1C1_7;channel;Count (),R1C1_8;channel;Count (),R1C1_9;channel;Count (),R1C1_10;channel;Count (),R1C1_11;channel;Count (),T;channel;Avg (°C),I;channel;Avg (mA),I;channel;Max (mA),I;channel;Min (mA),V;channel;Avg (V),V;channel;Max (V),V;channel;Min (V)
2023-01-01 00:00:00,4.0745,8.3,0.7,1.6002,600,353.6445,25.6665,600,51.3467,52,51,0.4763,600,17.3197,17.4,17.2,0.0585,600,995.3738,995.5,995.2,0.0548,600,0,0,0,0,600,0.0272,0.0306,0.0241,0.0017,600,0.0027,0.0322,0.0001,0.0035,600,26.3597,26.3939,26.3277,0.0262,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0.0014,0.0161,0,0.0017,600,0.0136,0.0153,0.012,0.0008,600,3.7657,3.7706,3.7611,0.0037,600,0,0,0,0,600,1,1,1,0,600,600,600,600,600,600,0,600,0,0,0,0,19.1,25.0183,70,5,25.98,26.12,25.92
2023-01-01 00:10:00,3.7772,7.6,0.6,1.4361,600,354.3094,25.4814,600,51.105,52,51,0.3068,600,17.3162,17.4,17.2,0.0382,600,995.4728,995.7,995.2,0.0822,600,0,0,0,0,600,0.0253,0.0295,0.0234,0.0013,600,0.0013,0.0101,0.0001,0.0024,600,26.3525,26.3768,26.3192,0.0198,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0.0007,0.005,0,0.0012,600,0.0126,0.0148,0.0117,0.0006,600,3.7646,3.7681,3.7599,0.0028,600,0,0,0,0,600,1,1,1,0,600,600,600,600,600,600,0,600,0,0,0,0,20.6,14.1233,33,5,25.99,26.07,25.92
2023-01-01 00:20:00,3.5855,7.8,0.5,1.3981,600,355.8714,24.7204,600,51.255,52,51,0.4362,600,17.2915,17.4,17.2,0.0456,600,995.6688,995.8,995.5,0.0587,600,0,0,0,0,600,0.0264,0.029,0.0241,0.0012,600,0.0001,0.0001,0.0001,0,600,26.3772,26.379,26.3747,0.0012,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0.0001,0,0,600,0.0132,0.0145,0.012,0.0006,600,3.7682,3.7684,3.7678,0.0002,600,0,0,0,0,600,1,1,1,0,600,600,600,600,600,600,0,600,0,0,0,0,19.2,8.6,13,5,26.02,26.07,25.97
2023-01-01 00:30:00,3.3267,7.1,0.5,1.4468,600,357.8337,31.1444,600,51.5867,52,51,0.4928,600,17.247,17.3,17.2,0.05,600,995.7328,995.9,995.6,0.0533,600,0,0,0,0,600,0.0274,0.0304,0.0245,0.0012,600,0.0001,0.0001,0.0001,0,600,26.3764,26.3811,26.3726,0.0013,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0.0001,0,0,600,0.0137,0.0152,0.0123,0.0006,600,3.7681,3.7687,3.7675,0.0002,600,0,0,0,0,600,1,1,1,0,600,600,600,600,600,600,0,600,0,0,0,0,19,8.6733,13,5,26.02,26.07,25.97
2023-01-01 00:40:00,3.9258,9.5,0.8,1.6686,600,6.6781,27.6849,600,51.1467,52,51,0.3541,600,17.3487,17.5,17.2,0.0603,600,995.7988,995.9,995.6,0.0736,600,0,0,0,0,600,0.0253,0.0288,0.0234,0.0012,600,0.0001,0.0001,0.0001,0,600,26.3732,26.3768,26.3683,0.0014,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0.0001,0,0,600,0.0126,0.0144,0.0117,0.0006,600,3.7676,3.7681,3.7669,0.0002,600,0,0,0,0,600,1,1,1,0,600,600,600,600,600,600,0,600,0,0,0,0,19,8.68,13,5,26.02,26.07,25.97
2023-01-01 00:50:00,4.2583,10.5,0.3,1.9302,600,355.9014,27.9023,600,51.275,52,51,0.4469,600,17.3232,17.5,17.2,0.0789,600,995.87,996,995.7,0.0569,600,0,0,0,0,600,0.026,0.0287,0.024,0.0011,600,0.0001,0.0001,0.0001,0,600,26.3691,26.3726,26.3662,0.0014,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0.0001,0,0,600,0.013,0.0143,0.012,0.0006,600,3.767,3.7675,3.7666,0.0002,600,0,0,0,0,600,1,1,1,0,600,600,600,600,600,600,0,600,0,0,0,0,19,8.6867,13,5,26.02,26.07,25.97
2023-01-01 01:00:00,3.5302,8.2,0.8,1.3318,600,357.7372,31.008,600,51.61,52,51,0.4882,600,17.2495,17.4,17.1,0.0609,600,995.9255,996.1,995.8,0.0581,600,0,0,0,0,600,0.0276,0.0305,0.0244,0.0013,600,0.0016,0.0304,0.0001,0.0024,600,26.339,26.3683,26.3128,0.0218,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0.0008,0.0152,0,0.0012,600,0.0138,0.0153,0.0122,0.0006,600,3.7627,3.7669,3.759,0.0031,600,0,0,0,0,600,1,1,1,0,600,600,600,600,600,600,0,600,0,0,0,0,19.5,25.135,70,5,25.96,26.07,25.92
2023-01-01 01:10:00,3.8823,8.1,0.7,1.6544,600,354.0763,24.366,600,51.975,52,51,0.1563,600,17.2345,17.4,17.1,0.0506,600,996.0217,996.2,995.8,0.0575,600,0,0,0,0,600,0.0257,0.029,0.0234,0.0015,600,0.0001,0.0009,0.0001,0.0001,600,26.3499,26.3598,26.3192,0.0079,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0.0005,0,0,600,0.0129,0.0145,0.0117,0.0008,600,3.7643,3.7657,3.7599,0.0011,600,0,0,0,0,600,1,1,1,0,600,600,600,600,600,600,0,600,0,0,0,0,20.3,8.7267,29,5,25.99,26.07,25.92
2023-01-01 01:20:00,4.1668,8.2,1.1,1.3469,600,356.2955,19.2922,600,52,52,52,0,600,17.2348,17.3,17.1,0.0487,600,996.1663,996.3,996,0.0691,600,0,0,0,0,600,0.026,0.0289,0.0241,0.0011,600,0.0001,0.0001,0.0001,0,600,26.3571,26.3619,26.3533,0.0012,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0.0001,0,0,600,0.013,0.0145,0.012,0.0006,600,3.7653,3.766,3.7648,0.0002,600,0,0,0,0,600,1,1,1,0,600,600,600,600,600,600,0,600,0,0,0,0,19,8.65,13,5,26.01,26.07,25.97
2023-01-01 01:30:00,3.101,6.7,0.3,1.2301,600,353.2025,24.9709,600,52.88,53,52,0.3252,600,17.1248,17.2,17,0.049,600,996.213,996.3,996.1,0.0473,600,0,0,0,0,600,0.0269,0.0301,0.0234,0.0018,600,0.0001,0.0001,0.0001,0,600,26.3546,26.3576,26.3512,0.0013,600,600,600,0,0,0,0,600,None,None,None,None,0,None,None,None,None,0,None,None,None,None,None,0,None,None,None,None,0,None,0,0.0001,0,0,600,0.0134,0.0151,0.0117,0.0009,600,3.7649,3.7654,3.7645,0.0002,600,0,0,0,0,600,1,1,1,0,600,600,600,600,600,600,0,600,0,0,0,0,19,8.67,13,5,26,26.07,25.97
